document,compile_component,,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/ModuloAxis.java,4.5,6.0,0.0,1010.0,70.0,572.0,427.0,7.0,5.5,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/MonthDateFormat.java,4.5,3.0,0.0,469.0,41.0,282.0,247.0,3.5,2.5,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/NumberAxis.java,7.5,17.5,0.0,2681.0,204.0,1508.0,1133.0,21.0,18.0,5.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/NumberTick.java,2.0,1.0,0.0,93.0,16.0,64.0,94.0,1.0,0.5,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/NumberTickUnit.java,3.0,1.5,0.0,222.0,20.0,122.0,152.0,0.5,0.5,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java,3.5,3.0,0.0,558.0,33.0,241.0,243.0,2.5,3.0,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/PeriodAxis.java,8.5,23.5,0.0,3226.0,219.0,2099.0,1186.0,23.5,23.0,6.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/PeriodAxisLabelInfo.java,4.0,4.0,0.0,651.0,53.0,450.0,355.0,6.5,4.5,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/QuarterDateFormat.java,4.5,2.5,0.0,345.0,30.0,220.0,196.0,3.5,2.0,91.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/SubCategoryAxis.java,5.5,7.5,0.0,1091.0,76.0,683.0,432.0,8.0,7.5,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/SymbolAxis.java,8.0,14.5,0.0,1875.0,146.0,1093.0,752.0,15.0,14.0,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/Tick.java,3.0,1.5,0.5,234.0,21.0,150.0,174.0,1.0,2.0,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/TickUnit.java,3.5,1.0,0.0,221.0,21.0,109.0,184.0,1.0,1.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/TickUnits.java,3.5,1.0,0.0,299.0,22.0,184.0,211.0,2.5,1.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/ValueAxis.java,8.5,23.0,0.0,3431.0,268.0,1978.0,1672.0,24.0,23.0,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/axis/ValueTick.java,3.0,0.5,0.0,166.0,21.0,100.0,137.0,0.5,1.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/AbstractBlock.java,4.5,8.0,0.0,1213.0,105.0,764.0,636.0,9.0,9.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/BlockBorder.java,4.0,3.0,0.0,486.0,43.0,325.0,233.0,4.5,3.0,64.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/BlockContainer.java,4.0,2.5,0.0,543.0,45.0,341.0,277.0,4.0,3.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/BlockParams.java,2.0,0.5,0.0,98.0,14.0,52.0,138.0,0.0,1.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/BlockResult.java,2.0,0.0,0.0,50.0,6.0,33.0,80.0,0.5,0.5,3.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/BorderArrangement.java,5.0,15.0,0.0,2251.0,101.0,1297.0,542.0,14.5,14.0,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/ColorBlock.java,3.5,2.5,0.0,313.0,27.0,202.0,190.0,3.0,3.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/ColumnArrangement.java,4.5,5.5,0.0,891.0,65.0,566.0,384.0,6.5,5.5,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/FlowArrangement.java,4.0,8.0,0.0,1017.0,81.0,662.0,442.0,7.5,8.0,9.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/GridArrangement.java,4.5,8.5,0.0,1185.0,114.0,766.0,442.0,9.0,9.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/LabelBlock.java,3.0,5.5,0.5,799.0,63.0,566.0,421.0,7.5,6.0,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/LineBorder.java,4.0,3.5,0.0,549.0,37.0,375.0,233.0,5.5,3.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/RectangleConstraint.java,3.0,4.5,0.0,618.0,47.0,484.0,350.0,5.5,4.0,59.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/block/Size2D.java,3.0,0.5,0.0,243.0,21.0,128.0,166.0,4.0,1.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/ChartColor.java,3.5,2.0,0.0,406.0,38.0,233.0,229.0,6.0,3.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/ChartHints.java,2.5,0.5,0.0,92.0,9.0,45.0,103.0,2.5,0.5,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/ChartRenderingInfo.java,3.0,2.5,0.0,412.0,28.0,274.0,253.0,3.0,2.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/ChartTransferable.java,3.5,3.0,0.0,451.0,50.0,270.0,255.0,4.5,2.5,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/date/MonthConstants.java,3.0,0.0,0.0,56.0,13.0,18.0,81.0,2.5,0.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/date/SerialDate.java,5.0,7.5,0.0,1532.0,161.0,679.0,982.0,9.0,7.5,6.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/date/SpreadsheetDate.java,3.5,4.0,0.0,765.0,66.0,385.0,450.0,4.5,4.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/encoders/ImageFormat.java,3.0,0.0,0.0,20.0,4.0,12.0,58.0,2.0,0.5,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,5.0,1.5,0.0,239.0,19.0,160.0,169.0,2.0,1.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/AxisEntity.java,4.0,2.0,0.0,329.0,28.0,201.0,208.0,1.5,1.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/CategoryItemEntity.java,3.0,1.5,0.0,272.0,25.0,174.0,199.0,1.0,1.5,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/CategoryLabelEntity.java,3.0,0.5,0.0,190.0,15.0,122.0,127.0,1.0,0.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/ChartEntity.java,4.5,5.0,0.0,762.0,55.0,457.0,401.0,5.0,5.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/FlowEntity.java,15.5,1.5,0.0,167.0,14.0,106.0,115.0,1.0,1.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/JFreeChartEntity.java,4.0,2.5,0.0,328.0,28.0,200.0,207.0,2.0,1.5,6.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/LegendItemEntity.java,2.5,1.0,0.0,197.0,18.0,120.0,171.0,1.5,1.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/NodeEntity.java,2.0,0.5,0.0,101.0,12.0,72.0,98.0,1.0,0.5,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/PieSectionEntity.java,3.5,2.0,0.0,327.0,32.0,203.0,237.0,2.0,2.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/PlotEntity.java,3.5,1.5,0.0,329.0,28.0,201.0,207.0,2.5,2.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/StandardEntityCollection.java,4.0,2.5,0.0,355.0,29.0,225.0,209.0,3.0,2.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/TitleEntity.java,3.0,2.0,0.0,329.0,28.0,201.0,207.0,3.0,2.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/XYAnnotationEntity.java,3.5,0.0,0.0,125.0,14.0,66.0,111.0,1.0,1.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/entity/XYItemEntity.java,3.0,1.5,0.0,210.0,25.0,115.0,171.0,1.5,1.0,3.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/AnnotationChangeEvent.java,3.0,0.5,0.0,55.0,6.0,41.0,73.0,0.5,0.5,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/AxisChangeEvent.java,2.5,0.5,0.0,40.0,5.0,29.0,69.0,0.0,0.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/ChartChangeEvent.java,2.0,1.0,0.0,135.0,18.0,94.0,129.0,0.5,1.5,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/ChartProgressEvent.java,2.5,1.0,0.0,134.0,18.0,90.0,129.0,1.5,1.0,3.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/MarkerChangeEvent.java,2.5,0.5,0.0,40.0,5.0,29.0,70.0,0.5,0.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/PlotChangeEvent.java,2.0,1.0,0.0,40.0,5.0,29.0,71.0,1.0,0.0,3.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/RendererChangeEvent.java,2.5,0.0,0.0,63.0,10.0,38.0,96.0,0.0,0.0,2.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/event/TitleChangeEvent.java,2.0,0.0,0.0,40.0,5.0,29.0,68.0,0.5,0.5,2.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator.java,2.0,0.5,0.5,76.0,9.0,43.0,94.0,3.0,1.0,3.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,10.5,26.5,0.0,3570.0,236.0,2332.0,1642.0,26.5,25.5,9.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/AbstractCategoryItemLabelGenerator.java,3.5,4.5,0.0,648.0,47.0,418.0,316.0,4.5,4.5,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/AbstractPieItemLabelGenerator.java,3.5,3.0,0.0,456.0,32.0,273.0,235.0,2.5,3.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/AbstractXYItemLabelGenerator.java,4.0,5.0,0.0,686.0,51.0,447.0,349.0,5.0,4.5,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator.java,4.0,1.0,0.0,251.0,17.0,161.0,144.0,4.0,1.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator.java,3.5,2.0,0.0,286.0,18.0,176.0,156.0,4.5,2.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,3.5,4.0,0.0,507.0,43.0,315.0,267.0,5.0,3.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/CustomXYToolTipGenerator.java,3.5,2.5,0.0,327.0,30.0,179.0,185.0,2.0,2.0,4.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/HighLowItemLabelGenerator.java,3.5,3.0,0.0,478.0,31.0,302.0,213.0,2.5,4.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/IntervalCategoryItemLabelGenerator.java,4.0,0.5,0.0,260.0,19.0,144.0,134.0,4.5,2.0,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/IntervalCategoryToolTipGenerator.java,3.0,0.5,0.0,288.0,22.0,147.0,155.0,4.0,2.0,3.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/IntervalXYItemLabelGenerator.java,5.5,4.0,0.0,593.0,43.0,325.0,271.0,6.0,3.5,5.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,3.0,3.0,0.0,593.0,43.0,325.0,262.0,6.0,3.0,3.5
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/ItemLabelPosition.java,3.5,3.0,0.0,406.0,36.0,267.0,251.0,3.0,2.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/MultipleXYSeriesLabelGenerator.java,3.5,3.5,0.0,500.0,42.0,323.0,231.0,4.5,3.5,6.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/StandardCategoryItemLabelGenerator.java,3.5,0.0,0.5,192.0,22.0,116.0,153.0,4.5,1.5,4.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java%20project/defects4j/project_repos/output/jfreechart/src/main/java/org/jfree/chart/labels/StandardCategorySeriesLabelGenerator.java,3.5,1.5,0.0,224.0,21.0,137.0,159.0,3.0,1.0,4.0
